cluster_id,risk_score,risk_level,false_alarm_indicator,classification_label,alert_priority,recommended_action,nearest_station_name,station_distance_km,station_available,alert_rationale
953,16.0,LOW,HIGH,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
954,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
955,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,"Fire and Rescue Station, Adimali",43.87,True,Low Risk Index representing routine thermal baseline.
956,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,CMC fire station,18.54,True,Low Risk Index representing routine thermal baseline.
957,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),12.07,True,Low Risk Index representing routine thermal baseline.
958,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
959,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),12.66,True,Low Risk Index representing routine thermal baseline.
960,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),11.6,True,Low Risk Index representing routine thermal baseline.
961,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
962,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,33.08,True,Low Risk Index representing routine thermal baseline.
963,58.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Mettur FIre and Rescue Dept. (10.3 km away).,Mettur FIre and Rescue Dept.,10.26,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
964,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Electronics City Fire Station,11.08,True,Low Risk Index representing routine thermal baseline.
965,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Thiruvallur fire station,22.72,True,Low Risk Index representing routine thermal baseline.
966,22.9,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,NCTPS Fire Station,29.02,True,Low Risk Index representing routine thermal baseline.
967,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
968,17.8,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Airport Fire Station,7.38,True,Low Risk Index representing routine thermal baseline.
969,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,26.74,True,Low Risk Index representing routine thermal baseline.
970,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
971,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
972,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Pune Municipal Corporation Fire Station Wagholi,38.75,True,Low Risk Index representing routine thermal baseline.
973,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Chakan Fire station,21.58,True,Low Risk Index representing routine thermal baseline.
974,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,22.86,True,Low Risk Index representing routine thermal baseline.
975,59.5,MEDIUM,MEDIUM,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Surandai Fire Station (26.9 km away).,Surandai Fire Station,26.95,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
976,38.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Airport Fire Station (30.6 km away).,Airport Fire Station,30.64,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
977,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,13.73,True,Low Risk Index representing routine thermal baseline.
978,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),27.21,True,Low Risk Index representing routine thermal baseline.
979,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
980,13.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
981,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (28.3 km away).,Fire station (unnamed),28.26,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
982,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (30.2 km away).,Fire station (unnamed),30.17,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
983,34.0,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (17.2 km away).,Fire station (unnamed),17.2,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
984,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
985,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Madurai Airport Fire Station,29.94,True,Low Risk Index representing routine thermal baseline.
986,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
987,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),41.43,True,Low Risk Index representing routine thermal baseline.
988,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),24.28,True,Low Risk Index representing routine thermal baseline.
989,17.0,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,BHEL Fire Station,37.67,True,Low Risk Index representing routine thermal baseline.
990,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,37.85,True,Low Risk Index representing routine thermal baseline.
991,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Koothanallur Fire  Station (19.1 km away).,Koothanallur Fire  Station,19.06,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
992,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire And Rescue Services Station,30.15,True,Low Risk Index representing routine thermal baseline.
993,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,24.71,True,Low Risk Index representing routine thermal baseline.
994,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kangeyam Fire Station,28.46,True,Low Risk Index representing routine thermal baseline.
995,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
996,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,BHEL Fire Station,43.45,True,Low Risk Index representing routine thermal baseline.
997,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (44.9 km away).,Fire station (unnamed),44.92,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
998,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,22.49,True,Low Risk Index representing routine thermal baseline.
999,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,32.71,True,Low Risk Index representing routine thermal baseline.
1000,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),45.95,True,Low Risk Index representing routine thermal baseline.
1001,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (39.0 km away).,Fire station (unnamed),39.05,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1002,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Mulbagal Fire Station,31.52,True,Low Risk Index representing routine thermal baseline.
1003,40.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire Station Gudiyattam (26.7 km away).,Fire Station Gudiyattam,26.67,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1004,26.0,LOW,LOW,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Mulbagal Fire Station,30.45,True,Low Risk Index representing routine thermal baseline.
1005,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Tirumala Fire Station (17.4 km away).,Tirumala Fire Station,17.36,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1006,28.9,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Gauribidanur Fire Station,44.6,True,Low Risk Index representing routine thermal baseline.
1007,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),36.67,True,Low Risk Index representing routine thermal baseline.
1008,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire Station (33.0 km away).,Fire Station,33.04,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1009,26.5,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Tisaiyanvillai Fire Station,18.36,True,Low Risk Index representing routine thermal baseline.
1010,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,13.89,True,Low Risk Index representing routine thermal baseline.
1011,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Airport Fire Station,3.33,True,Low Risk Index representing routine thermal baseline.
1012,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,24.51,True,Low Risk Index representing routine thermal baseline.
1013,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,10.88,True,Low Risk Index representing routine thermal baseline.
1014,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,20.59,True,Low Risk Index representing routine thermal baseline.
1015,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire And Rescue Service Station,7.28,True,Low Risk Index representing routine thermal baseline.
1016,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,25.95,True,Low Risk Index representing routine thermal baseline.
1017,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,9.75,True,Low Risk Index representing routine thermal baseline.
1018,19.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1019,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1020,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),28.61,True,Low Risk Index representing routine thermal baseline.
1021,45.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Sattur Fire Station (37.4 km away).,Sattur Fire Station,37.38,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1022,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),15.82,True,Low Risk Index representing routine thermal baseline.
1023,70.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Virudhunagar Fire Station (30.9 km away).,Virudhunagar Fire Station,30.95,True,High Risk Index (70.0) combined with high evidence reliability (Low False-Alarm Concern).
1024,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Madurai Airport Fire Station (37.6 km away).,Madurai Airport Fire Station,37.63,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1025,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Madurai Airport Fire Station,40.82,True,Low Risk Index representing routine thermal baseline.
1026,26.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),14.72,True,Low Risk Index representing routine thermal baseline.
1027,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Madurai Airport Fire Station,14.6,True,Low Risk Index representing routine thermal baseline.
1028,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),35.27,True,Low Risk Index representing routine thermal baseline.
1029,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Madurai Airport Fire Station,17.61,True,Low Risk Index representing routine thermal baseline.
1030,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),26.74,True,Low Risk Index representing routine thermal baseline.
1031,32.3,MEDIUM,MEDIUM,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire And Rescue Services Station (40.9 km away).,Fire And Rescue Services Station,40.88,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1032,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),17.92,True,Low Risk Index representing routine thermal baseline.
1033,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire And Rescue Services Station,27.23,True,Low Risk Index representing routine thermal baseline.
1034,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),16.85,True,Low Risk Index representing routine thermal baseline.
1035,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,26.09,True,Low Risk Index representing routine thermal baseline.
1036,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire And Rescue Services Station,37.84,True,Low Risk Index representing routine thermal baseline.
1037,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,20.11,True,Low Risk Index representing routine thermal baseline.
1038,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),5.06,True,Low Risk Index representing routine thermal baseline.
1039,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (5.5 km away).,Fire station (unnamed),5.51,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1040,19.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,BHEL Fire Station,26.44,True,Low Risk Index representing routine thermal baseline.
1041,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),7.19,True,Low Risk Index representing routine thermal baseline.
1042,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),25.33,True,Low Risk Index representing routine thermal baseline.
1043,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),36.27,True,Low Risk Index representing routine thermal baseline.
1044,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),32.77,True,Low Risk Index representing routine thermal baseline.
1045,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,BHEL Fire Station,28.94,True,Low Risk Index representing routine thermal baseline.
1046,41.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Erode District Fire Station (38.0 km away).,Erode District Fire Station,37.95,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1047,62.0,HIGH,LOW,Agricultural-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Fire station (unnamed) (39.9 km away).,Fire station (unnamed),39.91,True,High Risk Index (62.0) combined with high evidence reliability (Low False-Alarm Concern).
1048,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1049,32.3,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Erode District Fire Station (45.9 km away).,Erode District Fire Station,45.94,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1050,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Erode District Fire Station,19.99,True,Low Risk Index representing routine thermal baseline.
1051,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station Chidambaram,28.49,True,Low Risk Index representing routine thermal baseline.
1052,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,37.5,True,Low Risk Index representing routine thermal baseline.
1053,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),5.94,True,Low Risk Index representing routine thermal baseline.
1054,75.0,HIGH,LOW,Unknown / Insufficient Evidence,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Kallakurichi Fire Station (29.6 km away).,Kallakurichi Fire Station,29.64,True,High Risk Index (75.0) combined with high evidence reliability (Low False-Alarm Concern).
1055,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,16.08,True,Low Risk Index representing routine thermal baseline.
1056,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Kallakurichi Fire Station (27.4 km away).,Kallakurichi Fire Station,27.4,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1057,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,26.76,True,Low Risk Index representing routine thermal baseline.
1058,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Control Room,30.07,True,Low Risk Index representing routine thermal baseline.
1059,10.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Saraswathipuram Fire Station,14.69,True,Low Risk Index representing routine thermal baseline.
1060,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station,14.04,True,Low Risk Index representing routine thermal baseline.
1061,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),17.8,True,Low Risk Index representing routine thermal baseline.
1062,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Ramanagara Fire Station,27.02,True,Low Risk Index representing routine thermal baseline.
1063,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Mulbagal Fire Station,29.89,True,Low Risk Index representing routine thermal baseline.
1064,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),15.98,True,Low Risk Index representing routine thermal baseline.
1065,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),19.82,True,Low Risk Index representing routine thermal baseline.
1066,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Gudibanda Fire Station,31.13,True,Low Risk Index representing routine thermal baseline.
1067,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station,18.23,True,Low Risk Index representing routine thermal baseline.
1068,32.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1069,26.0,LOW,LOW,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1070,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
1071,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1072,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1073,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),32.25,True,Low Risk Index representing routine thermal baseline.
1074,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Pune Municipal Corporation Fire Station Wagholi,30.79,True,Low Risk Index representing routine thermal baseline.
1075,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1076,50.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (5.5 km away).,Fire station (unnamed),5.48,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1077,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),19.2,True,Low Risk Index representing routine thermal baseline.
1078,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),16.2,True,Low Risk Index representing routine thermal baseline.
1079,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),15.24,True,Low Risk Index representing routine thermal baseline.
1080,50.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (6.9 km away).,Fire station (unnamed),6.87,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1081,50.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (23.0 km away).,Fire station (unnamed),23.0,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1082,27.2,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),32.61,True,Low Risk Index representing routine thermal baseline.
1083,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,NIT Faridabad Fire Station,8.05,True,Low Risk Index representing routine thermal baseline.
1084,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),15.91,True,Low Risk Index representing routine thermal baseline.
1085,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,"Fire Station, Rajiv Gandhi Education City",10.91,True,Low Risk Index representing routine thermal baseline.
1086,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),30.67,True,Low Risk Index representing routine thermal baseline.
1087,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Koothanallur Fire  Station,34.12,True,Low Risk Index representing routine thermal baseline.
1088,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kangeyam Fire Station,46.05,True,Low Risk Index representing routine thermal baseline.
1089,10.2,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Tamilnadu fire and rescue services,4.88,True,Low Risk Index representing routine thermal baseline.
1090,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Station Gudiyattam,33.35,True,Low Risk Index representing routine thermal baseline.
1091,36.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1092,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
1093,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),21.82,True,Low Risk Index representing routine thermal baseline.
1094,59.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
1095,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Jonai Fire Service Station,27.08,True,Low Risk Index representing routine thermal baseline.
1096,62.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (62.0) combined with high evidence reliability (Low False-Alarm Concern).
1097,79.0,HIGH,LOW,Unknown / Insufficient Evidence,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (79.0) combined with high evidence reliability (Low False-Alarm Concern).
